rater,pair_id,shown_a,shown_b,pick,winner,ms,study
9b6fa40f98,ads2-redo:lantern:omni-vs-seedance2,omni,seedance2,a,omni,33651,6aaf887218ee882342b2fe2d
9b6fa40f98,ads2-redo:orchard:omni-vs-seedance2,seedance2,omni,a,seedance2,36252,6aaf887218ee882342b2fe2d
9b6fa40f98,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,a,heygen,11310,6aaf887218ee882342b2fe2d
9b6fa40f98,ads2-redo:slowroad:omni-vs-seedance2,seedance2,omni,a,seedance2,34452,6aaf887218ee882342b2fe2d
6464b48658,ads2-redo:quiet:omni-vs-seedance2,seedance2,omni,a,seedance2,45377,6aaf887218ee882342b2fe2d
6464b48658,ads6-omni:harbor:omni-vs-wan3,omni,wan3,a,omni,74064,6aaf887218ee882342b2fe2d
6464b48658,ads6-omni:lantern:omni-vs-wan3,omni,wan3,a,omni,57150,6aaf887218ee882342b2fe2d
6464b48658,ads6-omni:orchard:omni-vs-seedance2,omni,seedance2,a,omni,62857,6aaf887218ee882342b2fe2d
6464b48658,ads6-omni:slowroad:omni-vs-seedance2,omni,seedance2,a,omni,52575,6aaf887218ee882342b2fe2d
d2aba00b01,ads2-redo:quiet:omni-vs-seedance2,omni,seedance2,a,omni,52665,6aaf887218ee882342b2fe2d
d2aba00b01,ads6-omni:harbor:omni-vs-wan3,omni,wan3,b,wan3,31387,6aaf887218ee882342b2fe2d
d2aba00b01,ads6-omni:lantern:omni-vs-wan3,wan3,omni,a,wan3,58068,6aaf887218ee882342b2fe2d
d2aba00b01,ads6-omni:orchard:omni-vs-seedance2,seedance2,omni,b,omni,53122,6aaf887218ee882342b2fe2d
d2aba00b01,ads6-omni:slowroad:omni-vs-seedance2,seedance2,omni,a,seedance2,69679,6aaf887218ee882342b2fe2d
04829607b1,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,a,wan3,44796,6aaf887218ee882342b2fe2d
04829607b1,ads2-redo:lantern:seedance2-vs-wan3,wan3,seedance2,b,seedance2,41519,6aaf887218ee882342b2fe2d
04829607b1,ads2-redo:orchard:seedance2-vs-wan3,wan3,seedance2,b,seedance2,80028,6aaf887218ee882342b2fe2d
04829607b1,ads2-redo:quiet:omni-vs-seedance2,omni,seedance2,tie,,36692,6aaf887218ee882342b2fe2d
04829607b1,ads2-redo:slowroad:seedance2-vs-wan3,wan3,seedance2,b,seedance2,151127,6aaf887218ee882342b2fe2d
e3cbcfd432,ads2-redo:harbor:seedance2-vs-wan3,seedance2,wan3,a,seedance2,52556,6aaf887218ee882342b2fe2d
e3cbcfd432,ads2-redo:lantern:seedance2-vs-wan3,seedance2,wan3,a,seedance2,45576,6aaf887218ee882342b2fe2d
e3cbcfd432,ads2-redo:orchard:seedance2-vs-wan3,wan3,seedance2,a,wan3,43853,6aaf887218ee882342b2fe2d
e3cbcfd432,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,b,wan3,44932,6aaf887218ee882342b2fe2d
e3cbcfd432,ads2-redo:slowroad:seedance2-vs-wan3,wan3,seedance2,b,seedance2,35611,6aaf887218ee882342b2fe2d
947dfd31fa,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,b,seedance2,53502,6aaf887218ee882342b2fe2d
947dfd31fa,ads2-redo:lantern:heygen-vs-seedance2,seedance2,heygen,a,seedance2,44229,6aaf887218ee882342b2fe2d
947dfd31fa,ads2-redo:orchard:heygen-vs-seedance2,seedance2,heygen,a,seedance2,45276,6aaf887218ee882342b2fe2d
947dfd31fa,ads2-redo:quiet:seedance2-vs-wan3,wan3,seedance2,b,seedance2,42726,6aaf887218ee882342b2fe2d
947dfd31fa,ads2-redo:slowroad:heygen-vs-seedance2,seedance2,heygen,b,heygen,57673,6aaf887218ee882342b2fe2d
cee8e08fc9,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,tie,,33962,6aaf887218ee882342b2fe2d
cee8e08fc9,ads2-redo:lantern:heygen-vs-seedance2,heygen,seedance2,a,heygen,42488,6aaf887218ee882342b2fe2d
cee8e08fc9,ads2-redo:orchard:heygen-vs-seedance2,seedance2,heygen,a,seedance2,39750,6aaf887218ee882342b2fe2d
cee8e08fc9,ads2-redo:quiet:seedance2-vs-wan3,wan3,seedance2,b,seedance2,31202,6aaf887218ee882342b2fe2d
cee8e08fc9,ads2-redo:slowroad:heygen-vs-seedance2,heygen,seedance2,b,seedance2,43337,6aaf887218ee882342b2fe2d
abc9529782,ads2-redo:harbor:heygen-vs-omni,omni,heygen,b,heygen,43629,6aaf38e61e8bf3afc8f53d0c
abc9529782,ads2-redo:lantern:heygen-vs-omni,omni,heygen,a,omni,38627,6aaf38e61e8bf3afc8f53d0c
abc9529782,ads2-redo:orchard:heygen-vs-omni,heygen,omni,a,heygen,39994,6aaf38e61e8bf3afc8f53d0c
abc9529782,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,a,heygen,43077,6aaf38e61e8bf3afc8f53d0c
abc9529782,ads2-redo:slowroad:heygen-vs-omni,omni,heygen,a,omni,42393,6aaf38e61e8bf3afc8f53d0c
a6c8f18a60,ads2-redo:harbor:omni-vs-wan3,wan3,omni,b,omni,58384,6aaf38e61e8bf3afc8f53d0c
a6c8f18a60,ads2-redo:lantern:omni-vs-wan3,wan3,omni,b,omni,82661,6aaf38e61e8bf3afc8f53d0c
a6c8f18a60,ads2-redo:orchard:omni-vs-wan3,wan3,omni,b,omni,54019,6aaf38e61e8bf3afc8f53d0c
a6c8f18a60,ads2-redo:quiet:seedance2-vs-wan3,seedance2,wan3,a,seedance2,78429,6aaf38e61e8bf3afc8f53d0c
a6c8f18a60,ads2-redo:slowroad:omni-vs-wan3,wan3,omni,a,wan3,78617,6aaf38e61e8bf3afc8f53d0c
8263e444c6,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,a,heygen,377383,6aaf887218ee882342b2fe2d
8263e444c6,ads2-redo:lantern:heygen-vs-seedance2,seedance2,heygen,a,seedance2,322629,6aaf887218ee882342b2fe2d
8263e444c6,ads2-redo:orchard:heygen-vs-seedance2,heygen,seedance2,a,heygen,135880,6aaf887218ee882342b2fe2d
8263e444c6,ads2-redo:quiet:heygen-vs-omni,heygen,omni,b,omni,24912,6aaf887218ee882342b2fe2d
8263e444c6,ads2-redo:slowroad:heygen-vs-seedance2,heygen,seedance2,b,seedance2,31181,6aaf887218ee882342b2fe2d
6acbfe3140,ads2-redo:harbor:heygen-vs-omni,heygen,omni,a,heygen,68704,6aaf38e61e8bf3afc8f53d0c
6acbfe3140,ads2-redo:lantern:heygen-vs-omni,omni,heygen,b,heygen,81472,6aaf38e61e8bf3afc8f53d0c
6acbfe3140,ads2-redo:orchard:heygen-vs-omni,heygen,omni,b,omni,64717,6aaf38e61e8bf3afc8f53d0c
6acbfe3140,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,b,wan3,66477,6aaf38e61e8bf3afc8f53d0c
6acbfe3140,ads2-redo:slowroad:heygen-vs-omni,omni,heygen,b,heygen,51971,6aaf38e61e8bf3afc8f53d0c
774574ff05,ads2-redo:quiet:omni-vs-wan3,wan3,omni,b,omni,39716,6aaf887218ee882342b2fe2d
774574ff05,ads6-omni:harbor:omni-vs-wan3,omni,wan3,a,omni,62484,6aaf887218ee882342b2fe2d
774574ff05,ads6-omni:lantern:omni-vs-wan3,wan3,omni,b,omni,54989,6aaf887218ee882342b2fe2d
774574ff05,ads6-omni:orchard:omni-vs-seedance2,omni,seedance2,b,seedance2,38626,6aaf887218ee882342b2fe2d
774574ff05,ads6-omni:slowroad:omni-vs-seedance2,omni,seedance2,a,omni,50245,6aaf887218ee882342b2fe2d
1446281835,ads2-redo:harbor:seedance2-vs-wan3,seedance2,wan3,b,wan3,55436,6aaf38e61e8bf3afc8f53d0c
1446281835,ads2-redo:lantern:seedance2-vs-wan3,wan3,seedance2,tie,,36265,6aaf38e61e8bf3afc8f53d0c
1446281835,ads2-redo:orchard:seedance2-vs-wan3,wan3,seedance2,a,wan3,46506,6aaf38e61e8bf3afc8f53d0c
1446281835,ads2-redo:quiet:heygen-vs-omni,omni,heygen,b,heygen,45592,6aaf38e61e8bf3afc8f53d0c
1446281835,ads2-redo:slowroad:seedance2-vs-wan3,seedance2,wan3,a,seedance2,46821,6aaf38e61e8bf3afc8f53d0c
9c108c17b5,ads2-redo:harbor:heygen-vs-omni,heygen,omni,tie,,50576,6aaf887218ee882342b2fe2d
9c108c17b5,ads2-redo:lantern:heygen-vs-omni,heygen,omni,a,heygen,43581,6aaf887218ee882342b2fe2d
9c108c17b5,ads2-redo:orchard:heygen-vs-omni,omni,heygen,a,omni,44197,6aaf887218ee882342b2fe2d
9c108c17b5,ads2-redo:quiet:seedance2-vs-wan3,seedance2,wan3,b,wan3,43061,6aaf887218ee882342b2fe2d
9c108c17b5,ads2-redo:slowroad:heygen-vs-omni,heygen,omni,b,omni,45308,6aaf887218ee882342b2fe2d
f965b0227d,ads2-redo:harbor:heygen-vs-omni,heygen,omni,tie,,47369,6aaf887218ee882342b2fe2d
f965b0227d,ads2-redo:lantern:heygen-vs-omni,heygen,omni,tie,,82568,6aaf887218ee882342b2fe2d
f965b0227d,ads2-redo:orchard:heygen-vs-omni,heygen,omni,tie,,46626,6aaf887218ee882342b2fe2d
f965b0227d,ads2-redo:quiet:omni-vs-wan3,wan3,omni,tie,,116444,6aaf887218ee882342b2fe2d
f965b0227d,ads2-redo:slowroad:heygen-vs-omni,omni,heygen,tie,,75378,6aaf887218ee882342b2fe2d
286b6d84f4,ads2-redo:quiet:heygen-vs-omni,omni,heygen,b,heygen,179300,6aaf38e61e8bf3afc8f53d0c
286b6d84f4,ads6-omni:harbor:omni-vs-wan3,omni,wan3,a,omni,54420,6aaf38e61e8bf3afc8f53d0c
286b6d84f4,ads6-omni:lantern:omni-vs-wan3,wan3,omni,a,wan3,31629,6aaf38e61e8bf3afc8f53d0c
286b6d84f4,ads6-omni:orchard:omni-vs-seedance2,omni,seedance2,b,seedance2,27289,6aaf38e61e8bf3afc8f53d0c
286b6d84f4,ads6-omni:slowroad:omni-vs-seedance2,seedance2,omni,b,omni,57198,6aaf38e61e8bf3afc8f53d0c
6197da4e1c,ads2-redo:quiet:omni-vs-wan3,omni,wan3,a,omni,41447,6aaf887218ee882342b2fe2d
6197da4e1c,ads6-omni:harbor:omni-vs-wan3,omni,wan3,tie,,58316,6aaf887218ee882342b2fe2d
6197da4e1c,ads6-omni:lantern:omni-vs-wan3,wan3,omni,b,omni,61303,6aaf887218ee882342b2fe2d
6197da4e1c,ads6-omni:orchard:omni-vs-seedance2,seedance2,omni,b,omni,44424,6aaf887218ee882342b2fe2d
6197da4e1c,ads6-omni:slowroad:omni-vs-seedance2,seedance2,omni,tie,,65064,6aaf887218ee882342b2fe2d
9cee5ee365,ads2-redo:harbor:heygen-vs-omni,heygen,omni,a,heygen,49996,6aaf887218ee882342b2fe2d
9cee5ee365,ads2-redo:lantern:heygen-vs-omni,heygen,omni,b,omni,46918,6aaf887218ee882342b2fe2d
9cee5ee365,ads2-redo:orchard:heygen-vs-omni,omni,heygen,b,heygen,42643,6aaf887218ee882342b2fe2d
9cee5ee365,ads2-redo:quiet:omni-vs-wan3,wan3,omni,a,wan3,66999,6aaf887218ee882342b2fe2d
9cee5ee365,ads2-redo:slowroad:heygen-vs-omni,omni,heygen,b,heygen,44128,6aaf887218ee882342b2fe2d
babdc5366a,ads2-redo:quiet:omni-vs-seedance2,seedance2,omni,tie,,45677,6aaf887218ee882342b2fe2d
babdc5366a,ads6-omni:harbor:omni-vs-wan3,wan3,omni,b,omni,91694,6aaf887218ee882342b2fe2d
babdc5366a,ads6-omni:lantern:omni-vs-wan3,omni,wan3,a,omni,58724,6aaf887218ee882342b2fe2d
babdc5366a,ads6-omni:orchard:omni-vs-seedance2,omni,seedance2,a,omni,50925,6aaf887218ee882342b2fe2d
babdc5366a,ads6-omni:slowroad:omni-vs-seedance2,omni,seedance2,a,omni,55956,6aaf887218ee882342b2fe2d
b7f8cae765,ads2-redo:harbor:heygen-vs-omni,heygen,omni,b,omni,44498,6aaf887218ee882342b2fe2d
b7f8cae765,ads2-redo:lantern:heygen-vs-omni,heygen,omni,b,omni,39969,6aaf887218ee882342b2fe2d
b7f8cae765,ads2-redo:orchard:heygen-vs-omni,heygen,omni,a,heygen,40793,6aaf887218ee882342b2fe2d
b7f8cae765,ads2-redo:quiet:omni-vs-seedance2,seedance2,omni,a,seedance2,44610,6aaf887218ee882342b2fe2d
b7f8cae765,ads2-redo:slowroad:heygen-vs-omni,heygen,omni,a,heygen,43161,6aaf887218ee882342b2fe2d
841d7b02a1,ads2-redo:harbor:omni-vs-seedance2,seedance2,omni,b,omni,46789,6aaf887218ee882342b2fe2d
841d7b02a1,ads2-redo:lantern:omni-vs-seedance2,seedance2,omni,a,seedance2,43566,6aaf887218ee882342b2fe2d
841d7b02a1,ads2-redo:orchard:omni-vs-seedance2,omni,seedance2,a,omni,44247,6aaf887218ee882342b2fe2d
841d7b02a1,ads2-redo:quiet:heygen-vs-omni,heygen,omni,a,heygen,51287,6aaf887218ee882342b2fe2d
841d7b02a1,ads2-redo:slowroad:omni-vs-seedance2,omni,seedance2,b,seedance2,45047,6aaf887218ee882342b2fe2d
3033c4f0d5,ads2-redo:harbor:heygen-vs-omni,omni,heygen,b,heygen,98139,6aaf887218ee882342b2fe2d
3033c4f0d5,ads2-redo:lantern:heygen-vs-omni,omni,heygen,a,omni,59870,6aaf887218ee882342b2fe2d
3033c4f0d5,ads2-redo:orchard:heygen-vs-omni,omni,heygen,a,omni,59581,6aaf887218ee882342b2fe2d
3033c4f0d5,ads2-redo:quiet:omni-vs-wan3,omni,wan3,a,omni,51557,6aaf887218ee882342b2fe2d
3033c4f0d5,ads2-redo:slowroad:heygen-vs-omni,heygen,omni,b,omni,53702,6aaf887218ee882342b2fe2d
f10bb8a2c3,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,a,heygen,41737,6aaf38e61e8bf3afc8f53d0c
f10bb8a2c3,ads2-redo:lantern:heygen-vs-seedance2,seedance2,heygen,a,seedance2,42504,6aaf38e61e8bf3afc8f53d0c
f10bb8a2c3,ads2-redo:orchard:heygen-vs-seedance2,seedance2,heygen,a,seedance2,43357,6aaf38e61e8bf3afc8f53d0c
f10bb8a2c3,ads2-redo:quiet:omni-vs-seedance2,omni,seedance2,b,seedance2,42067,6aaf38e61e8bf3afc8f53d0c
f10bb8a2c3,ads2-redo:slowroad:heygen-vs-seedance2,seedance2,heygen,a,seedance2,44270,6aaf38e61e8bf3afc8f53d0c
5baf5275ec,ads2-redo:harbor:omni-vs-seedance2,seedance2,omni,a,seedance2,57326,6aaf887218ee882342b2fe2d
5baf5275ec,ads2-redo:lantern:omni-vs-seedance2,omni,seedance2,b,seedance2,45685,6aaf887218ee882342b2fe2d
5baf5275ec,ads2-redo:orchard:omni-vs-seedance2,omni,seedance2,a,omni,43551,6aaf887218ee882342b2fe2d
5baf5275ec,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,b,seedance2,43138,6aaf887218ee882342b2fe2d
5baf5275ec,ads2-redo:slowroad:omni-vs-seedance2,seedance2,omni,a,seedance2,46090,6aaf887218ee882342b2fe2d
e3e05ff4bd,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,b,seedance2,44698,6aaf887218ee882342b2fe2d
e3e05ff4bd,ads2-redo:lantern:heygen-vs-seedance2,seedance2,heygen,a,seedance2,47911,6aaf887218ee882342b2fe2d
e3e05ff4bd,ads2-redo:orchard:heygen-vs-seedance2,heygen,seedance2,b,seedance2,57837,6aaf887218ee882342b2fe2d
e3e05ff4bd,ads2-redo:quiet:seedance2-vs-wan3,wan3,seedance2,a,wan3,42790,6aaf887218ee882342b2fe2d
e3e05ff4bd,ads2-redo:slowroad:heygen-vs-seedance2,heygen,seedance2,b,seedance2,44950,6aaf887218ee882342b2fe2d
7846f991c8,ads2-redo:quiet:omni-vs-seedance2,omni,seedance2,b,seedance2,43157,6aaf887218ee882342b2fe2d
7846f991c8,ads6-omni:harbor:omni-vs-wan3,wan3,omni,a,wan3,59481,6aaf887218ee882342b2fe2d
7846f991c8,ads6-omni:lantern:omni-vs-wan3,wan3,omni,a,wan3,62677,6aaf887218ee882342b2fe2d
7846f991c8,ads6-omni:orchard:omni-vs-seedance2,seedance2,omni,a,seedance2,51232,6aaf887218ee882342b2fe2d
7846f991c8,ads6-omni:slowroad:omni-vs-seedance2,omni,seedance2,tie,,55517,6aaf887218ee882342b2fe2d
f0dca1892e,ads2-redo:harbor:omni-vs-seedance2,seedance2,omni,b,omni,68706,6aaf38e61e8bf3afc8f53d0c
f0dca1892e,ads2-redo:lantern:omni-vs-seedance2,seedance2,omni,a,seedance2,58046,6aaf38e61e8bf3afc8f53d0c
f0dca1892e,ads2-redo:orchard:omni-vs-seedance2,omni,seedance2,a,omni,45865,6aaf38e61e8bf3afc8f53d0c
f0dca1892e,ads2-redo:quiet:omni-vs-wan3,wan3,omni,b,omni,64452,6aaf38e61e8bf3afc8f53d0c
f0dca1892e,ads2-redo:slowroad:omni-vs-seedance2,seedance2,omni,a,seedance2,49664,6aaf38e61e8bf3afc8f53d0c
3eea77295b,ads2-redo:harbor:omni-vs-wan3,omni,wan3,a,omni,43024,6aaf887218ee882342b2fe2d
3eea77295b,ads2-redo:lantern:omni-vs-wan3,omni,wan3,b,wan3,18270,6aaf887218ee882342b2fe2d
3eea77295b,ads2-redo:orchard:omni-vs-wan3,omni,wan3,tie,,19458,6aaf887218ee882342b2fe2d
3eea77295b,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,tie,,20737,6aaf887218ee882342b2fe2d
3eea77295b,ads2-redo:slowroad:omni-vs-wan3,wan3,omni,b,omni,22224,6aaf887218ee882342b2fe2d
d5f1724fa8,ads2-redo:harbor:omni-vs-seedance2,seedance2,omni,b,omni,47200,6aaf38e61e8bf3afc8f53d0c
d5f1724fa8,ads2-redo:lantern:omni-vs-seedance2,omni,seedance2,b,seedance2,46019,6aaf38e61e8bf3afc8f53d0c
d5f1724fa8,ads2-redo:orchard:omni-vs-seedance2,seedance2,omni,a,seedance2,52268,6aaf38e61e8bf3afc8f53d0c
d5f1724fa8,ads2-redo:quiet:seedance2-vs-wan3,seedance2,wan3,a,seedance2,81959,6aaf38e61e8bf3afc8f53d0c
d5f1724fa8,ads2-redo:slowroad:omni-vs-seedance2,seedance2,omni,b,omni,45953,6aaf38e61e8bf3afc8f53d0c
ba06665720,ads2-redo:harbor:heygen-vs-wan3,wan3,heygen,a,wan3,41999,6aaf887218ee882342b2fe2d
ba06665720,ads2-redo:lantern:heygen-vs-wan3,wan3,heygen,a,wan3,43405,6aaf887218ee882342b2fe2d
ba06665720,ads2-redo:orchard:heygen-vs-wan3,heygen,wan3,a,heygen,41095,6aaf887218ee882342b2fe2d
ba06665720,ads2-redo:quiet:seedance2-vs-wan3,wan3,seedance2,b,seedance2,23698,6aaf887218ee882342b2fe2d
ba06665720,ads2-redo:slowroad:heygen-vs-wan3,wan3,heygen,a,wan3,24148,6aaf887218ee882342b2fe2d
e2c1348294,ads2-redo:harbor:heygen-vs-seedance2,seedance2,heygen,b,heygen,28068,6aaf887218ee882342b2fe2d
e2c1348294,ads2-redo:lantern:heygen-vs-seedance2,heygen,seedance2,a,heygen,23064,6aaf887218ee882342b2fe2d
e2c1348294,ads2-redo:orchard:heygen-vs-seedance2,heygen,seedance2,tie,,24266,6aaf887218ee882342b2fe2d
e2c1348294,ads2-redo:quiet:omni-vs-wan3,omni,wan3,a,omni,24462,6aaf887218ee882342b2fe2d
e2c1348294,ads2-redo:slowroad:heygen-vs-seedance2,heygen,seedance2,b,seedance2,24380,6aaf887218ee882342b2fe2d
a044508a8a,ads2-redo:harbor:heygen-vs-omni,omni,heygen,a,omni,70045,6aaf887218ee882342b2fe2d
a044508a8a,ads2-redo:lantern:heygen-vs-omni,heygen,omni,a,heygen,103329,6aaf887218ee882342b2fe2d
a044508a8a,ads2-redo:orchard:heygen-vs-omni,heygen,omni,a,heygen,40284,6aaf887218ee882342b2fe2d
a044508a8a,ads2-redo:quiet:omni-vs-wan3,omni,wan3,a,omni,38411,6aaf887218ee882342b2fe2d
a044508a8a,ads2-redo:slowroad:heygen-vs-omni,omni,heygen,a,omni,27176,6aaf887218ee882342b2fe2d
3a3b284611,ads2-redo:harbor:heygen-vs-omni,omni,heygen,a,omni,70289,6aaf887218ee882342b2fe2d
3a3b284611,ads2-redo:lantern:heygen-vs-omni,omni,heygen,b,heygen,71511,6aaf887218ee882342b2fe2d
3a3b284611,ads2-redo:orchard:heygen-vs-omni,heygen,omni,b,omni,49072,6aaf887218ee882342b2fe2d
3a3b284611,ads2-redo:quiet:seedance2-vs-wan3,seedance2,wan3,b,wan3,46966,6aaf887218ee882342b2fe2d
3a3b284611,ads2-redo:slowroad:heygen-vs-omni,omni,heygen,a,omni,52097,6aaf887218ee882342b2fe2d
b8ca1c07c9,ads2-redo:harbor:heygen-vs-seedance2,heygen,seedance2,a,heygen,44664,6aaf887218ee882342b2fe2d
b8ca1c07c9,ads2-redo:lantern:heygen-vs-seedance2,heygen,seedance2,b,seedance2,30096,6aaf887218ee882342b2fe2d
b8ca1c07c9,ads2-redo:orchard:heygen-vs-seedance2,heygen,seedance2,tie,,39541,6aaf887218ee882342b2fe2d
b8ca1c07c9,ads2-redo:quiet:seedance2-vs-wan3,wan3,seedance2,a,wan3,37254,6aaf887218ee882342b2fe2d
b8ca1c07c9,ads2-redo:slowroad:heygen-vs-seedance2,heygen,seedance2,a,heygen,38918,6aaf887218ee882342b2fe2d
6817736d27,ads2-redo:harbor:omni-vs-seedance2,seedance2,omni,a,seedance2,59397,6aaf887218ee882342b2fe2d
6817736d27,ads2-redo:lantern:omni-vs-seedance2,seedance2,omni,b,omni,55013,6aaf887218ee882342b2fe2d
6817736d27,ads2-redo:orchard:omni-vs-seedance2,omni,seedance2,b,seedance2,82110,6aaf887218ee882342b2fe2d
6817736d27,ads2-redo:quiet:heygen-vs-omni,omni,heygen,a,omni,46342,6aaf887218ee882342b2fe2d
6817736d27,ads2-redo:slowroad:omni-vs-seedance2,seedance2,omni,a,seedance2,56551,6aaf887218ee882342b2fe2d
5e63d09ac5,ads2-redo:harbor:heygen-vs-wan3,heygen,wan3,a,heygen,49001,6aaf38e61e8bf3afc8f53d0c
5e63d09ac5,ads2-redo:lantern:heygen-vs-wan3,wan3,heygen,tie,,73577,6aaf38e61e8bf3afc8f53d0c
5e63d09ac5,ads2-redo:orchard:heygen-vs-wan3,wan3,heygen,a,wan3,51740,6aaf38e61e8bf3afc8f53d0c
5e63d09ac5,ads2-redo:quiet:heygen-vs-wan3,wan3,heygen,b,heygen,44277,6aaf38e61e8bf3afc8f53d0c
5e63d09ac5,ads2-redo:slowroad:heygen-vs-wan3,wan3,heygen,a,wan3,54082,6aaf38e61e8bf3afc8f53d0c
2834600361,ads2-redo:harbor:heygen-vs-omni,heygen,omni,b,omni,68532,6aaf38e61e8bf3afc8f53d0c
2834600361,ads2-redo:lantern:heygen-vs-omni,heygen,omni,a,heygen,43915,6aaf38e61e8bf3afc8f53d0c
2834600361,ads2-redo:orchard:heygen-vs-omni,heygen,omni,b,omni,41515,6aaf38e61e8bf3afc8f53d0c
2834600361,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,b,seedance2,40531,6aaf38e61e8bf3afc8f53d0c
2834600361,ads2-redo:slowroad:heygen-vs-omni,omni,heygen,a,omni,42364,6aaf38e61e8bf3afc8f53d0c
31d06043f9,ads2-redo:harbor:seedance2-vs-wan3,seedance2,wan3,a,seedance2,45468,6aaf887218ee882342b2fe2d
31d06043f9,ads2-redo:lantern:seedance2-vs-wan3,seedance2,wan3,a,seedance2,43377,6aaf887218ee882342b2fe2d
31d06043f9,ads2-redo:orchard:seedance2-vs-wan3,wan3,seedance2,a,wan3,42597,6aaf887218ee882342b2fe2d
31d06043f9,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,a,heygen,112273,6aaf887218ee882342b2fe2d
31d06043f9,ads2-redo:slowroad:seedance2-vs-wan3,wan3,seedance2,b,seedance2,44539,6aaf887218ee882342b2fe2d
cf0cb66109,ads2-redo:quiet:omni-vs-seedance2,seedance2,omni,tie,,47831,6aaf887218ee882342b2fe2d
cf0cb66109,ads6-omni:harbor:omni-vs-wan3,omni,wan3,tie,,63166,6aaf887218ee882342b2fe2d
cf0cb66109,ads6-omni:lantern:omni-vs-wan3,wan3,omni,b,omni,64430,6aaf887218ee882342b2fe2d
cf0cb66109,ads6-omni:orchard:omni-vs-seedance2,seedance2,omni,b,omni,52063,6aaf887218ee882342b2fe2d
cf0cb66109,ads6-omni:slowroad:omni-vs-seedance2,omni,seedance2,tie,,61564,6aaf887218ee882342b2fe2d
b9d4f9da90,ads2-redo:harbor:omni-vs-seedance2,omni,seedance2,b,seedance2,45981,6aaf38e61e8bf3afc8f53d0c
b9d4f9da90,ads2-redo:lantern:omni-vs-seedance2,seedance2,omni,tie,,43560,6aaf38e61e8bf3afc8f53d0c
b9d4f9da90,ads2-redo:orchard:omni-vs-seedance2,omni,seedance2,b,seedance2,42606,6aaf38e61e8bf3afc8f53d0c
b9d4f9da90,ads2-redo:quiet:omni-vs-seedance2,omni,seedance2,b,seedance2,42531,6aaf38e61e8bf3afc8f53d0c
b9d4f9da90,ads2-redo:slowroad:omni-vs-seedance2,seedance2,omni,b,omni,45521,6aaf38e61e8bf3afc8f53d0c
32b99bf8ec,ads2-redo:harbor:heygen-vs-seedance2,seedance2,heygen,b,heygen,58266,6aaf887218ee882342b2fe2d
32b99bf8ec,ads2-redo:lantern:heygen-vs-seedance2,heygen,seedance2,b,seedance2,54218,6aaf887218ee882342b2fe2d
32b99bf8ec,ads2-redo:orchard:heygen-vs-seedance2,seedance2,heygen,a,seedance2,54671,6aaf887218ee882342b2fe2d
32b99bf8ec,ads2-redo:quiet:seedance2-vs-wan3,wan3,seedance2,a,wan3,61257,6aaf887218ee882342b2fe2d
32b99bf8ec,ads2-redo:slowroad:heygen-vs-seedance2,heygen,seedance2,b,seedance2,58484,6aaf887218ee882342b2fe2d
1f118ca9ed,ads2-redo:harbor:omni-vs-wan3,wan3,omni,a,wan3,52306,6aaf887218ee882342b2fe2d
1f118ca9ed,ads2-redo:lantern:omni-vs-wan3,wan3,omni,b,omni,52393,6aaf887218ee882342b2fe2d
1f118ca9ed,ads2-redo:orchard:omni-vs-wan3,wan3,omni,a,wan3,44916,6aaf887218ee882342b2fe2d
1f118ca9ed,ads2-redo:quiet:heygen-vs-seedance2,heygen,seedance2,b,seedance2,67268,6aaf887218ee882342b2fe2d
1f118ca9ed,ads2-redo:slowroad:omni-vs-wan3,omni,wan3,b,wan3,48430,6aaf887218ee882342b2fe2d
2175bba2c0,ads2-redo:harbor:omni-vs-seedance2,omni,seedance2,tie,,60798,6aaf887218ee882342b2fe2d
2175bba2c0,ads2-redo:lantern:omni-vs-seedance2,omni,seedance2,b,seedance2,47152,6aaf887218ee882342b2fe2d
2175bba2c0,ads2-redo:orchard:omni-vs-seedance2,seedance2,omni,b,omni,49448,6aaf887218ee882342b2fe2d
2175bba2c0,ads2-redo:quiet:heygen-vs-omni,heygen,omni,b,omni,56026,6aaf887218ee882342b2fe2d
2175bba2c0,ads2-redo:slowroad:omni-vs-seedance2,omni,seedance2,a,omni,63830,6aaf887218ee882342b2fe2d
a6f3c312b5,ads2-redo:harbor:omni-vs-wan3,omni,wan3,a,omni,32595,6aaf887218ee882342b2fe2d
a6f3c312b5,ads2-redo:lantern:omni-vs-wan3,wan3,omni,b,omni,26745,6aaf887218ee882342b2fe2d
